country,livestock_ab_sales_kg
Australia,644000
Austria,63000
Belgium,299000
Bulgaria,46200
Cyprus,57200
Canada,1450776
Czech Republic,71000
Denmark,11900
Denmark,11500
Estonia,7600
Finland,13000
France,997000
Germany,2002000
Hungary,206000
Iceland,900
Ireland,96000
Italy,1928000
Latvia,6600
Lithuania,16000
Japan,655820.5
Korea,843422
The Netherlands,461000
The Netherlands,411370
New Zealand,57043
Norway,6300
Poland,479000
Portugal,181000
Slovenia,8400
Spain,1746000
Sweden,13000
Sweden,14117
Switzerland,58121
United Kingdom,456000
United Kingdom,390000
United States,13542030